Name,Domain,Industry,Created Date
Sakura Karaoke Bar,http://www.sakurakaraokebar.com/,RESTAURANTS,2016-06-03T11:16:05.266Z
Boardwalk 11,http://www.boardwalk11.com,RESTAURANTS,2016-07-13T01:47:29.569Z
Hotel Victor Bar And Grill,www.hotelvictorbarandgrill.com,RESTAURANTS,2016-06-06T12:07:55.576Z
The Original Rinaldis Italian Deli,http://www.theoriginalrinaldis.com/,RESTAURANTS,2016-07-14T10:50:36.408Z
Taco Bandito,tacobanditos.com,,2016-06-06T20:22:24.031Z
Beef and Brandy Restaurant,http://beefbrandy.net,LEISURE_TRAVEL_TOURISM,2016-05-10T16:44:25.359Z
Dominick’s Pizza & Pasta,http://www.dominickspizza.net/,RESTAURANTS,2016-05-10T16:44:25.889Z
Siam Marina,http://siammarina.com/,RESTAURANTS,2016-05-10T16:44:28.465Z
Ki’s Restaurant,http://www.kisrestaurant.com,RESTAURANTS,2016-05-10T16:44:34.057Z
Sully’s House,http://www.sullyshouse.com/,RESTAURANTS,2016-05-10T16:44:39.726Z
Muse Restaurant & Wine Bar,www.CharlestonMuse.com,RESTAURANTS,2016-05-10T16:44:40.712Z
Fasai Thai Restaurant,http://www.fasaianaheim.com/,RESTAURANTS,2016-05-10T16:44:43.020Z
Chichen Itza Restaurant,http://www.chichenitzarestaurant.com/,RESTAURANTS,2016-07-18T08:57:57.986Z
Rascals,http://www.rascalsonmurray.com/,,2016-05-26T13:16:17.773Z
Le  Rendez-Vous at the point,lerendezvousatthepoint.com,,2016-05-26T13:28:28.096Z
Lasagna Restaurant,lasagnarestaurantmidtown.com,,2016-05-26T14:32:46.712Z
Gina Americana,ginaamericana.com,,2016-05-26T14:35:43.143Z
Sangria Bar,http://mkepoint.com,,2016-05-26T14:42:04.602Z
Hi Hat,hihatlounge.com,RESTAURANTS,2016-06-02T14:00:48.061Z
Deleted,spothopperapp.com,COMPUTER_SOFTWARE,2016-06-03T10:03:14.525Z
2A,http://2abar.com/,RESTAURANTS,2016-06-03T10:03:29.575Z
Mas Fina Cantina,http://masfinacantina.com/,COMPUTER_SOFTWARE,2016-06-03T10:17:51.606Z
The Compass,http://thecompasscarlsbad.com/,RESTAURANTS,2016-06-03T10:17:51.951Z
Dinos Mke,http://www.dinosmke.com/,,2016-06-03T10:34:01.683Z
Niagara Bar & Lounge,http://niagaranyc.com/,,2016-06-03T10:34:35.080Z
Fake Bar - Test,spothopperapp.com,COMPUTER_SOFTWARE,2016-06-03T10:34:48.209Z
Cempazuchi Comida Brava,http://cempazuchi.com/,COMPUTER_SOFTWARE,2016-06-03T10:38:56.705Z
Rancho Tequileria,Www.ranchotequileria.com,RESTAURANTS,2016-06-03T10:39:03.458Z
The Villa at Heaven City,www.TheVillaHC.com,COMPUTER_SOFTWARE,2016-06-03T10:40:22.566Z
Gina la Fornarina,ginanyeast.com,,2016-06-03T10:40:28.734Z
Gina La Fornarina,ginanymadison.com,RESTAURANTS,2016-06-03T10:40:29.062Z
Raclette,,RESTAURANTS,2016-06-03T10:45:03.073Z
Lasagna Chelsea Restaurant,lasagnarestaurantchelsea.com,RESTAURANTS,2016-06-03T10:45:48.854Z
Pleasant Kafe,http://pleasantkafe.com/,RESTAURANTS,2016-06-03T10:49:35.806Z
Romagna Ready 2 Go,,,2016-06-03T10:49:55.706Z
San Marino Restaurante,http://sanmarinosoho.com/,RESTAURANTS,2016-06-03T10:59:13.639Z
Salud Restaurant & Tapas Bar,http://www.saludbklyn.com/,,2016-06-03T11:10:16.620Z
